Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.51,406.28,403.49,405.00,6416500,403.27
2011-12-29,403.40,405.65,400.51,405.12,7713500,403.39
2011-12-28,406.89,408.25,401.34,402.64,8166500,400.92
2011-12-27,403.10,409.09,403.02,406.53,9467000,404.79
2011-12-23,399.69,403.59,399.49,403.33,9621400,401.61
2011-12-22,397.00,399.13,396.10,398.55,7227100,396.85
2011-12-21,396.69,397.30,392.01,396.45,9391000,394.76
2011-12-20,387.76,396.10,387.26,395.95,12043400,394.26
2011-12-19,382.47,384.85,380.48,382.21,8411800,380.58
2011-12-16,380.36,384.15,379.57,381.02,15052800,379.39
2011-12-15,383.33,383.74,378.31,378.94,9150000,377.32
2011-12-14,386.70,387.38,377.68,380.19,14531700,378.56
2011-12-13,393.00,395.40,387.10,388.81,12104600,387.15
2011-12-12,391.68,393.90,389.45,391.84,10752400,390.16
2011-12-09,392.85,394.04,391.03,393.62,10606900,391.94
2011-12-08,391.45,395.50,390.23,390.66,13441300,388.99
2011-12-07,389.93,390.94,386.76,389.09,10883800,387.43
2011-12-06,392.51,394.63,389.38,390.95,10128500,389.28
2011-12-05,393.49,396.41,390.39,393.01,12757500,391.33
2011-12-02,389.83,393.63,388.58,389.70,13537700,388.03
2011-12-01,382.54,389.00,380.75,387.93,13827900,386.27
