Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,106.79,107.50,106.18,106.40,5009400,103.82
2011-12-29,106.38,107.56,106.32,107.47,4468500,104.86
2011-12-28,107.86,108.16,105.88,105.96,5307900,103.39
2011-12-27,107.26,108.49,107.26,107.98,4136200,105.36
2011-12-23,106.63,107.61,106.10,107.50,3779400,104.89
2011-12-22,105.51,106.58,105.06,106.31,7483800,103.73
2011-12-21,103.68,105.53,103.55,105.43,8156600,102.87
2011-12-20,101.94,103.85,101.78,103.67,7278600,101.15
2011-12-19,101.16,101.33,99.50,99.72,5977400,97.30
2011-12-16,100.32,100.86,99.59,100.86,14709700,98.41
2011-12-15,101.23,101.60,99.32,99.67,9667000,97.25
2011-12-14,102.75,104.02,99.51,100.53,15512100,98.09
2011-12-13,104.22,105.89,103.10,103.62,8990000,101.11
2011-12-12,104.02,104.23,101.50,103.07,7595800,100.57
2011-12-09,102.74,104.50,102.71,104.25,6624100,101.72
2011-12-08,104.00,104.80,101.95,102.25,7720100,99.77
2011-12-07,104.22,105.74,103.97,104.52,10323300,101.98
2011-12-06,103.10,104.73,102.84,104.36,7445000,101.83
2011-12-05,103.58,104.00,102.04,102.82,6121800,100.32
2011-12-02,103.04,103.19,101.50,101.69,6638100,99.22
2011-12-01,102.82,103.00,100.96,101.83,7007200,99.36
2011-11-30,100.50,102.82,100.11,102.82,13373200,100.32
2011-11-29,95.96,98.05,95.75,97.39,8845100,95.03
2011-11-28,96.03,96.35,95.00,95.77,8403100,93.45
2011-11-25,94.03,94.45,92.29,92.29,5257300,90.05
2011-11-23,95.42,95.58,93.75,93.75,11665200,91.47
2011-11-22,95.68,97.25,95.00,96.42,8939500,94.08
2011-11-21,96.92,96.94,94.45,95.66,15021100,93.34
2011-11-18,100.52,101.50,97.52,97.88,13668700,95.50
2011-11-17,100.75,102.13,98.75,100.08,11794300,97.65
2011-11-16,102.51,103.42,100.74,101.05,12581000,98.60
2011-11-15,106.23,107.33,102.58,103.27,24328000,99.97
2011-11-14,106.20,106.74,105.38,106.17,5531200,102.78
2011-11-11,106.69,107.52,106.61,107.05,6352600,103.63
2011-11-10,105.32,106.01,103.50,105.50,10025200,102.13
2011-11-09,105.80,106.49,103.88,104.28,12062000,100.95
2011-11-08,108.27,109.00,106.50,108.86,7761400,105.38
2011-11-07,106.65,108.53,105.54,107.72,7821800,104.28
2011-11-04,105.75,106.60,104.48,106.43,8402700,103.03
2011-11-03,105.84,106.35,104.70,106.13,9276200,102.74
2011-11-02,103.96,104.93,103.14,104.54,8393400,101.20
2011-11-01,101.47,103.68,100.79,102.08,15213300,98.82
2011-10-31,107.72,108.00,105.05,105.05,11457800,101.70
2011-10-28,108.85,109.99,107.26,109.64,10341300,106.14
2011-10-27,107.84,110.01,107.62,108.97,14393600,105.49
2011-10-26,106.08,106.84,104.46,106.77,9959400,103.36
2011-10-25,106.62,106.91,104.33,104.50,8452200,101.16
2011-10-24,105.50,106.87,105.27,106.27,7911500,102.88
2011-10-21,104.50,105.84,104.21,105.53,10884100,102.16
2011-10-20,102.68,103.66,101.72,103.39,8710100,100.09
2011-10-19,102.69,104.08,101.71,102.24,8651800,98.98
2011-10-18,99.03,104.15,97.97,102.95,12165700,99.66
2011-10-17,99.91,100.25,98.40,98.61,6576400,95.46
2011-10-14,98.97,100.56,98.85,100.47,7365100,97.26
2011-10-13,96.62,98.10,96.25,97.79,6507900,94.67
2011-10-12,98.11,98.75,96.69,97.78,8868800,94.66
2011-10-11,97.21,98.64,97.15,97.60,7613500,94.48
2011-10-10,96.13,98.24,96.09,98.20,7490300,95.07
2011-10-07,95.67,95.73,93.66,94.40,10534600,91.39
2011-10-06,93.38,94.81,92.72,94.61,10169500,91.59
2011-10-05,92.14,94.74,91.03,94.66,13057500,91.64
2011-10-04,88.72,91.84,86.68,91.48,15398100,88.56
2011-10-03,91.93,92.77,89.85,89.88,11384300,87.01
2011-09-30,92.96,94.80,92.52,92.59,11918800,89.63
2011-09-29,94.19,94.48,92.32,94.39,10104100,91.38
2011-09-28,93.99,95.33,91.54,91.74,10338300,88.81
2011-09-27,94.16,95.35,93.05,93.54,11079800,90.55
2011-09-26,90.65,91.65,88.76,91.49,11899200,88.57
2011-09-23,90.13,90.84,88.56,90.01,12228200,87.14
2011-09-22,90.91,91.51,88.59,90.17,16685800,87.29
2011-09-21,97.21,97.78,94.14,94.27,9267200,91.26
2011-09-20,99.28,99.74,97.74,97.79,8660500,94.67
2011-09-19,97.19,99.34,96.60,98.71,8522500,95.56
2011-09-16,100.00,100.16,98.29,99.63,13862000,96.45
2011-09-15,98.72,99.50,98.06,99.26,9241200,96.09
2011-09-14,96.31,99.00,95.15,97.31,11325600,94.20
2011-09-13,96.76,96.84,94.63,95.93,11453800,92.87
2011-09-12,93.94,95.93,93.16,95.91,13616300,92.85
2011-09-09,97.01,97.39,94.78,95.19,13346600,92.15
2011-09-08,98.89,100.58,98.00,98.41,9603600,95.27
2011-09-07,98.27,99.44,97.86,99.29,10572800,96.12
2011-09-06,93.58,95.80,92.75,95.61,10276800,92.56
2011-09-02,96.31,97.06,95.07,96.41,8976700,93.33
2011-09-01,99.01,100.48,98.50,98.52,10121400,95.37
2011-08-31,98.85,99.72,98.08,98.84,11242000,95.68
2011-08-30,97.97,98.98,96.74,98.40,9202500,95.26
2011-08-29,98.28,98.76,96.58,98.74,9724900,95.59
2011-08-26,94.68,97.35,93.36,96.85,9216600,93.76
2011-08-25,98.05,98.52,95.29,95.96,9812400,92.90
2011-08-24,96.83,97.76,96.07,97.59,7642500,94.47
2011-08-23,93.92,97.38,93.46,97.33,12301000,94.22
2011-08-22,96.55,96.55,92.95,93.30,10071000,90.32
2011-08-19,92.09,95.36,92.08,93.29,13452700,90.31
2011-08-18,95.14,95.38,91.75,93.24,15083800,90.26
2011-08-17,98.41,99.09,97.11,97.68,8594800,94.56
2011-08-16,97.99,99.28,97.15,98.14,9842900,94.25
2011-08-15,97.00,99.23,96.79,99.10,11857000,95.17
2011-08-12,95.64,97.05,94.92,95.86,13364100,92.06
2011-08-11,92.07,95.14,90.78,94.07,30717300,90.34
2011-08-10,92.71,93.85,89.74,90.57,18069500,86.98
2011-08-09,91.60,93.71,87.30,93.40,21012700,89.70
2011-08-08,94.28,95.79,89.75,90.25,23079600,86.67
2011-08-05,98.03,99.34,93.82,97.61,17596200,93.74
2011-08-04,100.78,100.98,96.51,96.84,20541200,93.00
2011-08-03,103.53,103.74,100.87,102.76,12027400,98.69
2011-08-02,104.72,105.70,103.43,103.45,10396300,99.35
2011-08-01,106.08,106.13,103.92,105.38,9309400,101.21
2011-07-29,103.72,105.23,103.07,104.02,9697600,99.90
2011-07-28,105.15,105.85,104.43,105.03,6655300,100.87
2011-07-27,106.97,107.00,105.47,105.63,7412700,101.45
2011-07-26,107.91,108.47,107.34,107.57,4864800,103.31
2011-07-25,107.55,109.00,107.46,108.10,6284400,103.82
2011-07-22,109.39,109.66,108.82,108.97,5413700,104.65
2011-07-21,107.88,109.75,107.76,109.43,8319200,105.09
2011-07-20,107.51,107.65,106.88,107.10,5044900,102.86
2011-07-19,106.49,107.80,106.49,107.48,6987600,103.22
2011-07-18,105.58,106.50,105.11,106.23,6951000,102.02
2011-07-15,105.68,106.30,105.14,106.19,10160500,101.98
2011-07-14,105.70,106.47,104.57,104.67,7279600,100.52
2011-07-13,104.74,106.61,104.72,105.09,6871100,100.93
2011-07-12,103.99,105.95,103.99,104.39,9158300,100.25
2011-07-11,104.43,104.64,103.75,104.41,6975400,100.27
2011-07-08,105.45,106.00,105.07,105.89,6334900,101.69
2011-07-07,106.08,106.92,105.80,106.59,7878100,102.37
2011-07-06,104.82,105.24,104.57,105.08,6196300,100.92
2011-07-05,104.11,105.76,104.11,105.12,7392200,100.96
2011-07-01,102.71,104.19,102.01,104.09,6579700,99.97
2011-06-30,101.79,102.94,101.28,102.84,7697700,98.77
2011-06-29,100.69,101.71,99.91,101.28,7637700,97.27
2011-06-28,99.53,100.60,99.30,100.35,6113800,96.37
2011-06-27,97.94,99.64,97.94,98.90,7130200,94.98
2011-06-24,99.54,99.74,97.81,97.90,8032400,94.02
2011-06-23,98.90,99.55,97.00,99.36,13058800,95.42
2011-06-22,101.27,102.46,101.00,101.07,6592500,97.07
2011-06-21,100.54,101.98,100.32,101.59,8499500,97.57
2011-06-20,98.88,100.20,98.65,99.91,6427200,95.95
2011-06-17,100.23,100.84,98.73,99.17,12029500,95.24
2011-06-16,98.06,99.66,97.81,99.43,7786300,95.49
2011-06-15,99.20,99.91,97.71,98.41,9665600,94.51
2011-06-14,100.02,101.29,99.89,100.60,7353400,96.61
2011-06-13,98.93,100.51,98.07,98.93,7999300,95.01
2011-06-10,100.94,101.00,98.98,99.67,9113900,95.72
2011-06-09,100.51,101.87,100.32,101.23,5734900,97.22
2011-06-08,99.51,100.84,99.50,99.95,6936200,95.99
2011-06-07,100.23,100.91,99.38,99.47,6835400,95.53
2011-06-06,100.90,101.31,99.30,99.68,6982200,95.73
2011-06-03,99.73,101.69,99.57,101.00,7692200,97.00
2011-06-02,102.35,102.59,100.36,101.12,8129200,97.11
2011-06-01,104.73,104.95,102.08,102.49,8196100,98.43
2011-05-31,104.61,105.21,103.71,104.91,8188400,100.75
2011-05-27,103.64,104.22,102.53,103.21,5796300,99.12
2011-05-26,102.99,103.80,102.10,103.36,6614300,99.27
2011-05-25,103.25,103.86,101.81,103.25,7949500,99.16
2011-05-24,101.85,103.39,101.85,102.27,6800500,98.22
2011-05-23,101.13,101.91,100.70,101.37,7487000,97.35
2011-05-20,103.55,103.81,101.77,102.57,8760900,98.51
2011-05-19,103.69,104.53,102.94,103.87,7452400,99.75
2011-05-18,100.92,103.46,100.17,102.86,8193700,98.79
2011-05-17,100.31,101.19,99.61,100.41,8768800,96.43
2011-05-16,102.03,103.29,101.41,101.65,6759400,96.87
2011-05-13,103.45,103.49,101.27,102.39,8968000,97.58
2011-05-12,101.63,103.32,100.41,102.76,10425800,97.93
2011-05-11,103.27,103.46,101.25,102.26,10161700,97.46
2011-05-10,104.32,104.95,103.25,104.36,6430500,99.46
2011-05-09,103.25,104.86,103.00,104.09,7117900,99.20
2011-05-06,103.34,104.45,102.00,102.88,9536300,98.05
2011-05-05,103.36,104.12,101.11,102.62,11988500,97.80
2011-05-04,106.02,106.02,103.70,104.68,8892900,99.76
2011-05-03,107.58,107.84,105.19,106.17,7955600,101.18
2011-05-02,109.48,109.58,107.61,108.18,6550800,103.10
2011-04-29,108.48,109.60,107.78,109.44,6755500,104.30
2011-04-28,109.08,109.10,108.08,108.81,5941200,103.70
2011-04-27,109.11,109.17,107.55,108.97,5982600,103.85
2011-04-26,107.85,108.83,107.16,108.75,5300000,103.64
2011-04-25,107.37,107.78,106.68,107.42,3995200,102.37
2011-04-21,108.25,108.25,107.49,108.13,4915500,103.05
2011-04-20,107.71,108.34,107.01,107.81,6667800,102.74
2011-04-19,104.49,105.85,104.27,105.40,4993300,100.45
2011-04-18,104.95,104.99,103.04,104.50,7194800,99.59
2011-04-15,105.52,106.50,104.35,106.24,8869500,101.25
2011-04-14,103.32,105.29,103.13,104.88,7084900,99.95
2011-04-13,104.82,105.14,103.34,103.81,7241100,98.93
2011-04-12,106.47,106.70,103.48,104.18,12803700,99.28
2011-04-11,109.74,109.90,107.57,107.78,6599000,102.72
2011-04-08,109.35,109.94,109.14,109.66,6732900,104.51
2011-04-07,109.02,109.10,107.51,108.94,7011700,103.82
