,AAPL,GOOG,IBM,XOM,_CASH,_TOTAL
2011-01-10 16:00:00,1500.0,0.0,0.0,0.0,488515.0,1000000.0
2011-01-11 16:00:00,1500.0,0.0,0.0,0.0,488515.0,998785.0
2011-01-12 16:00:00,1500.0,0.0,0.0,0.0,488515.0,1002940.0
2011-01-13 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1004815.0
2011-01-14 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1009415.0
2011-01-18 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1011935.0
2011-01-19 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1031495.0
2011-01-20 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1031935.0
2011-01-21 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1030775.0
2011-01-24 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1046815.0
2011-01-25 16:00:00,0.0,0.0,4000.0,0.0,426615.0,1053855.0
2011-01-26 16:00:00,0.0,1000.0,4000.0,0.0,-189885.0,1052295.0
2011-01-27 16:00:00,0.0,1000.0,4000.0,0.0,-189885.0,1052705.0
2011-01-28 16:00:00,0.0,1000.0,4000.0,0.0,-189885.0,1029665.0
2011-01-31 16:00:00,0.0,1000.0,4000.0,0.0,-189885.0,1039875.0
2011-02-01 16:00:00,0.0,1000.0,4000.0,0.0,-189885.0,1056635.0
2011-02-02 16:00:00,0.0,1000.0,4000.0,-4000.0,129955.0,1056595.0
2011-02-03 16:00:00,0.0,1000.0,4000.0,-4000.0,129955.0,1055505.0
2011-02-04 16:00:00,0.0,1000.0,4000.0,-4000.0,129955.0,1058775.0
2011-02-07 16:00:00,0.0,1000.0,4000.0,-4000.0,129955.0,1062765.0
2011-02-08 16:00:00,0.0,1000.0,4000.0,-4000.0,129955.0,1076175.0
2011-02-09 16:00:00,0.0,1000.0,4000.0,-4000.0,129955.0,1070495.0
2011-02-10 16:00:00,0.0,1000.0,4000.0,0.0,-190765.0,1065755.0
2011-02-11 16:00:00,0.0,1000.0,4000.0,0.0,-190765.0,1072855.0
2011-02-14 16:00:00,0.0,1000.0,4000.0,0.0,-190765.0,1074065.0
